country,country_code,longitude,latitude,PC1,PC2
Croatia,HR,16.1,45.32,0.0111,-0.046
Serbia and Montenegro,YG,20.6157230848337,43.9494926410995,-0.03,-0.0443
Czech Republic,CZ,15.3769842272552,49.7366066102774,0.0137,-0.0444
Bosnia and Herzegovina,BA,17.862023036397,44.1758758177205,0.0028,-0.0493
Serbia and Montenegro,YG,20.6157230848337,43.9494926410995,-0.0031,-0.0416
Serbia and Montenegro,YG,20.6157230848337,43.9494926410995,-0.0026,-0.0424
Serbia and Montenegro,YG,20.6157230848337,43.9494926410995,-0.0241,-0.0478
Romania,RO,24.9821171437008,45.8858243977516,-0.0304,-0.0537
Serbia and Montenegro,YG,20.6157230848337,43.9494926410995,-0.0011,-0.0545
Bosnia and Herzegovina,BA,17.862023036397,44.1758758177205,0.0048,-0.0588
Bosnia and Herzegovina,BA,17.862023036397,44.1758758177205,0.001,-0.0539
Serbia and Montenegro,YG,20.6157230848337,43.9494926410995,-0.0314,-0.0508
Bulgaria,BG,25.2182005971862,42.8151664853966,-0.016,-0.0376
Serbia and Montenegro,YG,20.6157230848337,43.9494926410995,-0.0254,-0.0579
Serbia and Montenegro,YG,20.6157230848337,43.9494926410995,-0.0317,-0.0496
Hungary,HU,19.3687924374399,47.1822394595205,-0.0086,-0.0451
Hungary,HU,19.3687924374399,47.1822394595205,0.0149,-0.0462
Hungary,HU,19.3687924374399,47.1822394595205,-0.0104,-0.0416
Czech Republic,CZ,15.3769842272552,49.7366066102774,0.0212,-0.032
Romania,RO,24.9821171437008,45.8858243977516,-0.0061,-0.0422
Serbia and Montenegro,YG,20.6157230848337,43.9494926410995,-0.0192,-0.0561
Romania,RO,24.9821171437008,45.8858243977516,-0.0131,-0.0417
Hungary,HU,19.3687924374399,47.1822394595205,0.0086,-0.0398
Serbia and Montenegro,YG,20.6157230848337,43.9494926410995,0.0028,-0.0497
Serbia and Montenegro,YG,20.6157230848337,43.9494926410995,-0.0109,-0.0488
Hungary,HU,19.3687924374399,47.1822394595205,0.011,-0.0384
Serbia and Montenegro,YG,20.6157230848337,43.9494926410995,-0.003,-0.059
Romania,RO,24.9821171437008,45.8858243977516,0.0099,-0.0532
Bosnia and Herzegovina,BA,17.862023036397,44.1758758177205,0.0023,-0.047
Slovakia,SK,19.5167408690893,48.7084711361039,-0.057,-0.0215
Serbia and Montenegro,YG,20.6157230848337,43.9494926410995,-0.0078,-0.0512
Bosnia and Herzegovina,BA,17.862023036397,44.1758758177205,0.0058,-0.0605
Albania,AL,20.0669417599939,41.2010555936319,-0.0354,-0.0491
Hungary,HU,19.3687924374399,47.1822394595205,0.0161,-0.0368
Ukraine,UA,31.3892588389883,49.0619830464609,0.0234,-0.0727
Serbia and Montenegro,YG,20.6157230848337,43.9494926410995,-0.012,-0.0506
Romania,RO,24.9821171437008,45.8858243977516,-0.0119,-0.0558
Romania,RO,24.9821171437008,45.8858243977516,0.0045,-0.0453
Bulgaria,BG,25.2182005971862,42.8151664853966,-0.0202,-0.0431
Hungary,HU,19.3687924374399,47.1822394595205,0.0145,-0.0349
Serbia and Montenegro,YG,20.6157230848337,43.9494926410995,-0.0321,-0.0529
Serbia and Montenegro,YG,20.6157230848337,43.9494926410995,-0.0296,-0.0571
Serbia and Montenegro,YG,20.6157230848337,43.9494926410995,0.0021,-0.0454
Czech Republic,CZ,15.3769842272552,49.7366066102774,0.0281,-0.0627
Croatia,HR,16.1,45.32,0.0166,-0.068
Czech Republic,CZ,15.3769842272552,49.7366066102774,0.0222,-0.0284
Czech Republic,CZ,15.3769842272552,49.7366066102774,0.0212,-0.0415
Albania,AL,20.0669417599939,41.2010555936319,-0.02,-0.0484
Croatia,HR,16.1,45.32,-0.0383,-0.0486
Czech Republic,CZ,15.3769842272552,49.7366066102774,-0.0006,-0.0494
Serbia and Montenegro,YG,20.6157230848337,43.9494926410995,-0.031,-0.0501
Hungary,HU,19.3687924374399,47.1822394595205,0.0179,-0.0423
Latvia,LV,24.856977593073,56.9121980114132,0.0516,-0.0666
Czech Republic,CZ,15.3769842272552,49.7366066102774,0.019,-0.0412
Romania,RO,24.9821171437008,45.8858243977516,-0.0147,-0.0475
Serbia and Montenegro,YG,20.6157230848337,43.9494926410995,0.002,-0.0628
Romania,RO,24.9821171437008,45.8858243977516,-0.0244,-0.036
Hungary,HU,19.3687924374399,47.1822394595205,0.0186,-0.0359
