SpecimenID,Tree_name,Family,Order,Total_weight,Standard_length,Max_body_depth,Max_fish_width,Head_depth,Lower_jaw_length,Mouth_width,Min_caudalpeduncle_depth,Min_caudalpeduncle_width
408895,Abalistes_stellatus,Balistidae,Tetraodontiformes,211.9,178.81,81.82,39.76,72.35,11.29,15.44,7.96,5.97
316729,Abalistes_stellatus,Balistidae,Tetraodontiformes,273.9,198.38,90.26,34.39,76.03,11.45,16.95,8.91,5.63
226659,Abalistes_stellatus,Balistidae,Tetraodontiformes,326.7,218.15,96.34,36.26,81.89,12.69,17.4,9.16,5.53
336887,Abbottina_rivularis,Cyprinidae,Cypriniformes,8.59,75.32,17.89,14.25,12.1,6.85,6.17,7.37,1.55
112449,Abbottina_rivularis,Cyprinidae,Cypriniformes,13.26,92.23,18.51,14.53,15.3,11.92,5.71,8.59,2.46
130331,Abbottina_rivularis,Cyprinidae,Cypriniformes,20.21,102.45,25.11,17.91,16.32,9.23,7.02,10.95,2.4
150082,Ablabys_taenianotus,Tetrarogidae,Scorpaeniformes,14,80.2,27.7,15.4,19.8,8.6,6.3,7.5,1.3
420698,Ablabys_taenianotus,Tetrarogidae,Scorpaeniformes,17.7,78.6,30.4,18.5,20.6,10.7,7.1,7.9,2.1
242020,Ablabys_taenianotus,Tetrarogidae,Scorpaeniformes,21,85.5,33.1,17.2,23.4,9.3,7.9,8.7,1.6
368647,Ablennes_hians,Belonidae,Beloniformes,5.45,230.87,10.87,5.95,9.72,67.24,2.07,2.96,1.74
61446,Ablennes_hians,Belonidae,Beloniformes,14.03,276.66,13.52,8.48,12.2,73.9,2.96,4.16,2.46
291393,Ablennes_hians,Belonidae,Beloniformes,24.51,258.28,17.5,9.92,13.05,59.36,2.76,4.23,2.9
21147,Abramis_brama,Cyprinidae,Cypriniformes,93.5,168.2,62.7,20.7,26,13.6,6.3,17.8,3.6
270901,Abramis_brama,Cyprinidae,Cypriniformes,132.4,188.1,73.4,25.6,27.4,17,7.8,20.6,4.6
17468,Abramis_brama,Cyprinidae,Cypriniformes,253.3,230.9,91.2,27.8,33.2,18.8,8.4,23.8,4.5
222014,Abudefduf_abdominalis,Pomacentridae,Perciformes,10.02,67.14,34.47,10.52,18.22,7.92,3.8,10.65,1.25
222105,Abudefduf_abdominalis,Pomacentridae,Perciformes,121.2,135.55,74.23,27.42,45.91,11.42,8.28,22.21,3.01
95374,Abudefduf_bengalensis,Pomacentridae,Perciformes,59.51,103.91,61.89,20.99,35.63,9.74,10.02,17.85,3.21
117865,Abudefduf_bengalensis,Pomacentridae,Perciformes,66.28,108.25,63.13,21.88,33.77,8.63,9.3,17.5,2.36
95374,Abudefduf_bengalensis,Pomacentridae,Perciformes,79.74,113.88,65.41,22.57,41.38,10.37,11.03,20.48,4.34
321196,Abudefduf_concolor,Pomacentridae,Perciformes,33.84,81.75,44.51,18.34,26.17,8.88,9.1,15.23,3.47
323791,Abudefduf_concolor,Pomacentridae,Perciformes,62.85,102.54,56.4,23.34,30.69,8.2,8.24,18.76,2.55
323791,Abudefduf_concolor,Pomacentridae,Perciformes,67.02,102.34,63.3,24.59,33.72,8.43,9.88,19.8,3.45
80836,Abudefduf_declivifrons,Pomacentridae,Perciformes,81.13,106.69,66.74,23.03,42.9,9.96,5.55,18.18,3.88
181315,Abudefduf_declivifrons,Pomacentridae,Perciformes,170.86,140.09,87.25,35.08,40.29,11.26,14.33,27.34,5.15
181315,Abudefduf_declivifrons,Pomacentridae,Perciformes,172.33,128.95,92.4,35.48,47.11,13.8,15.45,26.14,4.09
371911,Abudefduf_lorenzi,Pomacentridae,Perciformes,7.39,61.23,28.38,10.15,19.57,5.62,5.72,9.85,1.44
372133,Abudefduf_lorenzi,Pomacentridae,Perciformes,46.38,95.21,53.46,19.35,28.96,8.59,8.18,17,2.9
